Algorithm,ArrayType,Size,TimeMs,Comparisons
MergeSort,common_prefix,1000,3.7904,72356
Ternary String QuickSort,common_prefix,1000,0.4958,17425
String MergeSort,common_prefix,1000,3.8656,72356
MSD Radix Sort,common_prefix,1000,2.0604,18308
MSD Radix Sort with Cutoff,common_prefix,1000,1.228,19513
QuickSort,random,1500,1.4046,22988
MergeSort,random,1500,3.0822,19131
Ternary String QuickSort,random,1500,0.7422,19776
String MergeSort,random,1500,3.0698,19131
MSD Radix Sort,random,1500,1.8644,6732
MSD Radix Sort with Cutoff,random,1500,0.4644,9421
QuickSort,reverse,1500,60.3592,1139474
MergeSort,reverse,1500,2.635,11211
Ternary String QuickSort,reverse,1500,2.1872,68853
String MergeSort,reverse,1500,2.5384,11211
MSD Radix Sort,reverse,1500,1.78,6686
MSD Radix Sort with Cutoff,reverse,1500,0.7066,18021
QuickSort,nearly_sorted,1500,3.5404,65308
MergeSort,nearly_sorted,1500,2.8538,17408
Ternary String QuickSort,nearly_sorted,1500,1.026,29934
String MergeSort,nearly_sorted,1500,2.8518,17408
MSD Radix Sort,nearly_sorted,1500,1.7986,6706
MSD Radix Sort with Cutoff,nearly_sorted,1500,0.4892,10344
QuickSort,common_prefix,1500,5.2242,142325
MergeSort,common_prefix,1500,6.2396,116909
Ternary String QuickSort,common_prefix,1500,0.84,27923
String MergeSort,common_prefix,1500,6.2414,116909
MSD Radix Sort,common_prefix,1500,3.2344,27690
MSD Radix Sort with Cutoff,common_prefix,1500,1.8816,30521
QuickSort,random,2000,1.9394,33051
MergeSort,random,2000,4.2096,27176
Ternary String QuickSort,random,2000,0.9156,23616
String MergeSort,random,2000,4.2616,27176
MSD Radix Sort,random,2000,2.542,9172
MSD Radix Sort with Cutoff,random,2000,0.678,13497
QuickSort,reverse,2000,107.212,2025848
MergeSort,reverse,2000,3.538,16348
Ternary String QuickSort,reverse,2000,2.9334,92199
String MergeSort,reverse,2000,3.652,16348
MSD Radix Sort,reverse,2000,2.6958,9306
MSD Radix Sort with Cutoff,reverse,2000,1.0752,28382
QuickSort,nearly_sorted,2000,4.4164,81950
MergeSort,nearly_sorted,2000,3.8886,24430
Ternary String QuickSort,nearly_sorted,2000,1.888,57053
String MergeSort,nearly_sorted,2000,3.9118,24430
MSD Radix Sort,nearly_sorted,2000,2.571,9262
MSD Radix Sort with Cutoff,nearly_sorted,2000,0.6728,14853
QuickSort,common_prefix,2000,7.1814,196833
MergeSort,common_prefix,2000,8.5496,162866
Ternary String QuickSort,common_prefix,2000,1.1434,37555
String MergeSort,common_prefix,2000,8.5508,162866
MSD Radix Sort,common_prefix,2000,4.5778,37238
MSD Radix Sort with Cutoff,common_prefix,2000,2.509,41547
QuickSort,random,2500,2.4308,41342
MergeSort,random,2500,5.54,35655
Ternary String QuickSort,random,2500,1.0998,29146
String MergeSort,random,2500,5.5982,35655
MSD Radix Sort,random,2500,3.3834,11754
MSD Radix Sort with Cutoff,random,2500,0.8866,17665
QuickSort,reverse,2500,166.49,3166077
MergeSort,reverse,2500,4.6454,20836
Ternary String QuickSort,reverse,2500,3.9172,123113
String MergeSort,reverse,2500,4.6302,20836
MSD Radix Sort,reverse,2500,3.4968,11806
MSD Radix Sort with Cutoff,reverse,2500,1.5508,41962
QuickSort,nearly_sorted,2500,5.1684,96044
MergeSort,nearly_sorted,2500,5.1206,33066
Ternary String QuickSort,nearly_sorted,2500,2.3058,67647
String MergeSort,nearly_sorted,2500,5.0776,33066
MSD Radix Sort,nearly_sorted,2500,3.643,11926
MSD Radix Sort with Cutoff,nearly_sorted,2500,0.9234,20059
QuickSort,common_prefix,2500,9.7392,269731
MergeSort,common_prefix,2500,11.1168,211175
Ternary String QuickSort,common_prefix,2500,1.5224,49314
String MergeSort,common_prefix,2500,11.144,211175
MSD Radix Sort,common_prefix,2500,5.9952,46878
MSD Radix Sort with Cutoff,common_prefix,2500,3.3192,52824
QuickSort,random,3000,3.0916,53084
MergeSort,random,3000,6.8462,44420
Ternary String QuickSort,random,3000,1.3658,35396
String MergeSort,random,3000,6.7574,44420
MSD Radix Sort,random,3000,4.5314,14546
MSD Radix Sort with Cutoff,random,3000,1.0618,22274
QuickSort,reverse,3000,241.079,4559131
MergeSort,reverse,3000,5.6616,25739
Ternary String QuickSort,reverse,3000,4.7568,147753
String MergeSort,reverse,3000,5.7346,25739
MSD Radix Sort,reverse,3000,4.5196,14520
MSD Radix Sort with Cutoff,reverse,3000,2.0766,55908
QuickSort,nearly_sorted,3000,7.098,133368
MergeSort,nearly_sorted,3000,6.2566,40980
Ternary String QuickSort,nearly_sorted,3000,3.1978,92729
String MergeSort,nearly_sorted,3000,6.3756,40980
MSD Radix Sort,nearly_sorted,3000,4.6514,14540
MSD Radix Sort with Cutoff,nearly_sorted,3000,1.143,25397
QuickSort,common_prefix,3000,12.1396,324331
MergeSort,common_prefix,3000,13.594,260807
Ternary String QuickSort,common_prefix,3000,1.8328,59352
String MergeSort,common_prefix,3000,13.7826,260807
MSD Radix Sort,common_prefix,3000,7.835,56496
MSD Radix Sort with Cutoff,common_prefix,3000,4.0836,64193
